Above Threshold?,Birth Rate Bin,Country/Region,Ease of Business (clusters),GDP per Capita (bin),Region,Year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Below Threshold,Above 3%,Congo (Brazzaville),Low,$0,Africa,12/1/2000,3.9%,,1049,,,814,$3B,"$1,030",2.1%,$22,,0.077,0%,0.22,52,53,51,2%,1,0.419,0.545,0.036,3.1M,58.7%,$0B,$0B
Below Threshold,Above 3%,Cote d'Ivoire,Low,$0,Africa,12/1/2000,3.8%,,6791,,,6734,$10B,$646,6.5%,$42,,0.1,0%,,47,47,46,3%,1,0.421,0.55,0.029,16.1M,43.5%,$0B,$0B
Below Threshold,Above 3%,Djibouti,Low,$0,Africa,12/1/2000,3.0%,,403,,,,$1B,$763,5.8%,$44,,0.08,0%,,57,59,55,0%,1,0.414,0.556,0.03,0.7M,76.5%,$0B,$0B
Below Threshold,1.5-3%,Egypt,Moderate,$0,Africa,12/1/2000,2.5%,,141326,,,40658,$100B,"$1,510",5.4%,$79,,0.036,1%,0.132,69,71,66,2%,1,0.354,0.592,0.053,66.1M,42.8%,$5B,$1B
Below Threshold,Above 3%,Equatorial Guinea,Low,$0,Africa,12/1/2000,4.0%,,455,,,,$1B,"$2,019",2.4%,$57,,0.099,0%,0.22,48,49,46,1%,1,0.426,0.537,0.037,0.5M,38.8%,$0B,$0B
Below Threshold,Above 3%,Eritrea,Low,$0,Africa,12/1/2000,4.0%,,609,,,708,$1B,$179,4.5%,$7,,0.058,0%,,56,58,54,,1,0.47,0.512,0.018,3.9M,17.6%,$0B,
Below Threshold,Above 3%,Ethiopia,Moderate,$0,Africa,12/1/2000,4.4%,,5831,,,25242,$8B,$123,4.3%,$5,,0.09,0%,0.109,52,53,51,0%,1,0.466,0.503,0.031,66.0M,14.7%,$0B,$0B
Below Threshold,Above 3%,Gabon,Low,$0,Africa,12/1/2000,3.4%,,1052,,,1463,$5B,"$4,135",2.9%,$118,,0.056,1%,0.22,60,61,59,10%,1,0.406,0.535,0.059,1.2M,80.1%,$0B,$0B
Below Threshold,Above 3%,"Gambia, The",Low,$0,Africa,12/1/2000,4.5%,,275,,,,$1B,$637,4.5%,$29,,0.063,1%,0.24,55,56,54,1%,1,0.459,0.514,0.027,1.2M,47.9%,,
Below Threshold,Above 3%,Ghana,Friendly,$0,Africa,12/1/2000,3.5%,,6289,,,7736,$5B,$265,4.8%,$13,,0.065,0%,,57,58,56,1%,1,0.414,0.556,0.03,18.8M,43.9%,$0B,$0B
Below Threshold,Above 3%,Guinea,Low,$0,Africa,12/1/2000,4.2%,,1280,,,,$3B,$342,5.6%,$19,,0.103,0%,0.194,51,51,51,1%,1,0.44,0.525,0.034,8.7M,31.0%,$0B,$0B
Below Threshold,Above 3%,Guinea-Bissau,Low,$0,Africa,12/1/2000,4.2%,,147,,,,$0B,$284,4.9%,$16,,0.109,0%,,52,53,50,,1,0.435,0.534,0.031,1.3M,36.7%,,
Below Threshold,Above 3%,Kenya,Moderate,$0,Africa,12/1/2000,3.9%,,10418,,,14055,$13B,$406,4.7%,$19,,0.069,0%,0.223,53,54,52,0%,1,0.442,0.531,0.028,31.3M,19.9%,$1B,$0B
Below Threshold,Above 3%,Lesotho,Moderate,$0,Africa,12/1/2000,3.1%,,,,,,$1B,$415,6.9%,$29,,0.081,0%,0.171,48,48,47,1%,1,0.412,0.543,0.045,1.9M,19.5%,$0B,$0B
Below Threshold,Above 3%,Liberia,Low,$0,Africa,12/1/2000,4.3%,,436,,,,$1B,$183,5.9%,$11,,0.119,0%,0.205,53,53,52,0%,1,0.432,0.537,0.031,2.9M,44.3%,,
Below Threshold,1.5-3%,Libya,Low,"$4,688",Africa,12/1/2000,2.2%,,47114,,,15901,$34B,"$6,549",3.4%,$252,,0.024,0%,0.07,72,74,70,1%,1,0.333,0.628,0.039,5.2M,76.3%,$0B,$0B
Below Threshold,Above 3%,Madagascar,Moderate,$0,Africa,12/1/2000,4.1%,,1874,,,,$4B,$246,5.0%,$12,,0.071,0%,0.265,59,60,57,0%,1,0.455,0.515,0.03,15.7M,27.1%,$0B,$0B
Below Threshold,Above 3%,Malawi,Low,$0,Africa,12/1/2000,4.5%,,906,,,,$2B,$154,6.1%,$9,,0.103,0%,0.531,46,46,46,0%,1,0.458,0.511,0.031,11.3M,14.6%,$0B,$0B
Below Threshold,Above 3%,Mali,Low,$0,Africa,12/1/2000,4.8%,,543,,,,$2B,$236,6.3%,$16,,0.116,0%,,49,49,49,0%,1,0.461,0.504,0.035,10.3M,28.4%,$0B,$0B
Below Threshold,Above 3%,Mauritania,Low,$0,Africa,12/1/2000,3.8%,,1236,,,,$1B,$478,6.0%,$24,,0.076,0%,0.256,60,61,58,1%,1,0.428,0.54,0.032,2.7M,49.2%,,
Below Threshold,1.5-3%,Mauritius,Very Friendly,$0,Africa,12/1/2000,1.7%,,2769,,,,$5B,"$3,861",3.7%,$146,,0.016,7%,0.208,72,75,68,15%,1,0.258,0.681,0.061,1.2M,42.7%,$1B,$0B
Below Threshold,1.5-3%,Morocco,Friendly,$0,Africa,12/1/2000,2.2%,,33905,,,10238,$37B,"$1,289",4.2%,$54,,0.043,1%,0.133,69,70,67,8%,1,0.341,0.613,0.047,28.7M,53.3%,$2B,$1B
Below Threshold,Above 3%,Mozambique,Moderate,$0,Africa,12/1/2000,4.4%,,1349,,,7173,$4B,$236,6.2%,$15,,0.114,0%,0.19,48,49,46,0%,1,0.438,0.53,0.032,18.3M,29.1%,$0B,$0B
Below Threshold,Above 3%,Namibia,Friendly,$0,Africa,12/1/2000,3.2%,,1643,,,978,$4B,"$2,059",6.1%,$126,,0.049,2%,0.153,55,57,53,4%,1,0.405,0.562,0.033,1.9M,32.4%,$0B,$0B
Below Threshold,Above 3%,Niger,Low,$0,Africa,12/1/2000,5.3%,,796,,,,$2B,$164,6.4%,$10,,0.101,0%,,51,51,51,0%,1,0.479,0.495,0.025,11.0M,16.2%,$0B,$0B
Below Threshold,Above 3%,Nigeria,Moderate,$0,Africa,12/1/2000,4.3%,,79182,,,90596,$46B,$378,4.6%,$17,,0.113,0%,0.213,47,47,46,0%,1,0.435,0.537,0.028,122.9M,34.8%,$0B,$1B
Below Threshold,Above 3%,Rwanda,Friendly,$0,Africa,12/1/2000,4.1%,,686,,,,$2B,$207,4.2%,$9,,0.108,0%,0.17,48,49,47,1%,1,0.466,0.505,0.03,8.4M,14.9%,$0B,$0B
Below Threshold,Above 3%,Sao Tome and Principe,Low,$0,Africa,12/1/2000,3.6%,,48,,,,$0B,$550,8.9%,$46,,0.058,5%,0.397,64,65,62,,1,0.44,0.52,0.04,0.1M,53.4%,$0B,$0B
Below Threshold,Above 3%,Senegal,Low,$0,Africa,12/1/2000,4.0%,,3938,,,2398,$5B,$475,4.6%,$22,,0.069,0%,,58,59,56,3%,1,0.451,0.517,0.032,9.9M,40.3%,$0B,$0B
Below Threshold,1.5-3%,Seychelles,Friendly,"$4,688",Africa,12/1/2000,1.9%,,565,,,,$1B,"$7,579",4.8%,$371,,0.012,7%,0.107,,,,33%,1,0.282,0.637,0.081,0.1M,50.1%,$0B,$0B
Above Threshold,Above 3%,Sierra Leone,Moderate,$0,Africa,12/1/2000,4.4%,,425,,,,$1B,$154,18.4%,$28,,0.141,0%,0.263,38,39,37,0%,1,0.43,0.546,0.025,4.1M,35.6%,$0B,$0B
Below Threshold,Above 3%,Somalia,Not Clustered,,Africa,12/1/2000,4.9%,,517,,,,,,,,,0.105,0%,,51,52,49,1%,1,0.472,0.499,0.029,7.4M,33.2%,,
Below Threshold,1.5-3%,South Africa,Very Friendly,$0,Africa,12/1/2000,2.4%,,368611,,,109264,$133B,"$3,023",8.3%,$246,,0.052,5%,0.145,56,58,54,19%,1,0.33,0.636,0.034,44.0M,56.9%,$3B,$3B
Below Threshold,Above 3%,South Sudan,Low,,Africa,12/1/2000,4.3%,,,,,,,,,,,0.11,,,49,50,48,,1,0.447,0.523,0.03,6.7M,16.5%,,
Below Threshold,Above 3%,Sudan,Moderate,$0,Africa,12/1/2000,4.0%,,5534,,,13340,$12B,$442,3.4%,$15,,0.069,0%,,58,60,56,0%,1,0.437,0.533,0.03,27.7M,32.5%,$0B,$0B
Below Threshold,Above 3%,Swaziland,Moderate,$0,Africa,12/1/2000,3.3%,,1188,,,,$2B,"$1,433",5.3%,$75,,0.08,1%,0.14,49,49,48,3%,1,0.446,0.524,0.029,1.1M,22.7%,$0B,$0B
Below Threshold,Above 3%,Tanzania,Moderate,$0,Africa,12/1/2000,4.2%,,2651,,,13390,$10B,$299,3.4%,$10,,0.08,0%,0.216,50,51,49,0%,1,0.448,0.523,0.029,34.0M,22.3%,$0B,$0B
Below Threshold,Above 3%,Togo,Low,$0,Africa,12/1/2000,3.9%,,1357,,,2111,$1B,$266,5.3%,$14,,0.077,1%,,54,54,53,1%,1,0.442,0.529,0.029,4.9M,32.9%,$0B,$0B
Below Threshold,1.5-3%,Tunisia,Very Friendly,$0,Africa,12/1/2000,1.7%,,19923,,,7306,$21B,"$2,245",5.4%,$123,,0.026,3%,,73,75,71,1%,1,0.298,0.641,0.06,9.6M,63.4%,$2B,$0B
Below Threshold,Above 3%,Uganda,Moderate,$0,Africa,12/1/2000,4.8%,,1533,,,,$6B,$255,6.6%,$16,,0.089,0%,0.229,48,48,48,1%,1,0.493,0.481,0.027,24.3M,12.1%,$0B,
Below Threshold,Above 3%,Zambia,Friendly,$0,Africa,12/1/2000,4.5%,,1819,,,6244,$3B,$322,5.6%,$18,,0.1,0%,0.388,42,42,42,1%,1,0.457,0.515,0.027,10.1M,34.8%,$0B,$0B
Below Threshold,Above 3%,Zimbabwe,Low,$0,Africa,12/1/2000,3.2%,,13887,,,9865,$7B,$535,,,,0.061,0%,0.682,44,44,44,2%,1,0.422,0.545,0.034,12.5M,33.8%,$0B,
Below Threshold,Above 3%,Afghanistan,Low,,Asia,12/1/2000,5.0%,,781,,,,,,,,,0.095,,,55,56,54,,1,0.495,0.485,0.02,20.6M,21.3%,,
Below Threshold,Below 1.5%,Armenia,Very Friendly,$0,Asia,12/1/2000,1.3%,,3465,,,2015,$2B,$621,6.3%,$39,,0.027,1%,0.316,72,75,68,1%,1,0.259,0.641,0.1,3.1M,64.7%,$0B,$0B
Below Threshold,1.5-3%,Azerbaijan,Friendly,$0,Asia,12/1/2000,1.5%,,29508,,,11296,$5B,$655,4.7%,$30,,0.061,0%,0.197,67,70,64,5%,1,0.311,0.633,0.056,8.0M,51.4%,$0B,$0B
Below Threshold,1.5-3%,Bangladesh,Moderate,$0,Asia,12/1/2000,2.7%,,27869,,,18591,$47B,$356,2.8%,$10,,0.064,0%,0.155,66,66,65,0%,1,0.37,0.59,0.041,132.4M,23.6%,$0B,$0B
Below Threshold,1.5-3%,Bhutan,Low,$0,Asia,12/1/2000,2.8%,,400,,,,$0B,$778,6.7%,$52,,0.059,0%,0.16,60,60,60,,1,0.406,0.556,0.038,0.6M,25.4%,$0B,
Below Threshold,1.5-3%,Brunei,Friendly,"$14,064",Asia,12/1/2000,2.3%,,6527,,,2385,$6B,"$18,087",3.0%,$543,,0.008,9%,0.055,76,78,74,29%,1,0.304,0.668,0.028,0.3M,71.2%,,
Below Threshold,1.5-3%,Cambodia,Moderate,$0,Asia,12/1/2000,2.8%,,1977,,,3412,$4B,$299,6.3%,$19,,0.082,0%,,62,65,59,1%,1,0.408,0.554,0.038,12.2M,18.6%,$0B,$0B
Below Threshold,Below 1.5%,China,Friendly,$0,Asia,12/1/2000,1.4%,,3405180,,,1161353,"$1,200B",$950,4.6%,$43,,0.03,2%,0.059,73,74,71,7%,1,0.256,0.675,0.069,"1,262.6M",35.9%,$17B,$14B
Below Threshold,Below 1.5%,Georgia,Very Friendly,$0,Asia,12/1/2000,1.2%,,4536,,,2869,$3B,$692,6.9%,$45,,0.031,1%,0.247,72,75,68,4%,1,0.219,0.656,0.125,4.4M,52.6%,$0B,$0B
Below Threshold,Below 1.5%,Hong Kong SAR,Very Friendly,"$23,440",Asia,12/1/2000,0.8%,,40465,,,13392,$172B,"$25,806",,,,,28%,0.095,81,84,78,80%,1,0.173,0.717,0.11,6.7M,100.0%,$8B,$13B
Below Threshold,1.5-3%,India,Moderate,$0,Asia,12/1/2000,2.6%,,1186663,,,457198,$477B,$458,4.3%,$20,,0.067,1%,0.123,62,63,61,0%,1,0.342,0.614,0.044,"1,042.3M",27.7%,$4B,$4B
Below Threshold,1.5-3%,Indonesia,Moderate,$0,Asia,12/1/2000,2.2%,,263419,,,154768,$165B,$790,2.0%,$15,,0.041,1%,0.185,67,69,65,2%,1,0.307,0.647,0.047,208.9M,42.0%,$5B,$3B
Below Threshold,Below 1.5%,Japan,Very Friendly,"$32,816",Asia,12/1/2000,0.9%,,1219589,,,518964,"$4,730B","$37,282",7.6%,"$2,834",,0.003,30%,0.021,82,85,78,53%,1,0.146,0.682,0.172,126.9M,78.6%,$6B,$43B
Below Threshold,1.5-3%,Kazakhstan,Friendly,$0,Asia,12/1/2000,1.5%,,127769,,,35679,$18B,"$1,229",4.2%,$52,,0.038,1%,,66,71,60,1%,1,0.277,0.655,0.068,14.9M,55.7%,$0B,$0B
Below Threshold,1.5-3%,North Korea,Not Clustered,,Asia,12/1/2000,1.8%,,76699,,,19717,,,,,,0.045,,,65,69,61,,1,0.26,0.681,0.059,22.8M,59.4%,,
Below Threshold,Below 1.5%,South Korea,Very Friendly,"$9,376",Asia,12/1/2000,1.3%,,447561,,,188161,$562B,"$11,955",4.3%,$491,,0.005,45%,0.085,76,80,72,58%,1,0.21,0.717,0.073,47.0M,79.6%,$9B,$8B
Below Threshold,1.5-3%,Kyrgyzstan,Friendly,$0,Asia,12/1/2000,2.0%,,4529,,,2317,$1B,$280,4.7%,$13,,0.042,1%,0.519,69,72,65,0%,1,0.35,0.596,0.055,4.9M,35.3%,$0B,$0B
Below Threshold,Above 3%,Laos,Low,$0,Asia,12/1/2000,3.1%,,972,,,,$2B,$321,3.3%,$11,,0.083,0%,0.32,62,63,60,0%,1,0.435,0.529,0.036,5.4M,22.0%,$0B,$0B
Below Threshold,Below 1.5%,Macao SAR,Not Clustered,"$14,064",Asia,12/1/2000,0.9%,,1635,,,,$6B,"$14,128",,,,,14%,0.099,78,80,75,33%,1,0.228,0.698,0.074,0.4M,100.0%,$3B,
Below Threshold,1.5-3%,Malaysia,Very Friendly,$0,Asia,12/1/2000,2.3%,,126603,,,47110,$94B,"$4,005",3.0%,$120,,0.009,21%,0.077,73,75,71,22%,1,0.333,0.628,0.038,23.4M,62.0%,$6B,$3B
Below Threshold,1.5-3%,Maldives,Friendly,$0,Asia,12/1/2000,2.5%,,499,,,,$1B,"$2,289",7.1%,$162,,0.035,2%,0.13,70,70,69,3%,1,0.413,0.549,0.038,0.3M,27.7%,$0B,$0B
Below Threshold,1.5-3%,Mongolia,Friendly,$0,Asia,12/1/2000,1.9%,,7506,,,2397,$1B,$474,4.7%,$22,,0.049,1%,0.37,63,66,60,6%,1,0.348,0.615,0.037,2.4M,57.1%,$0B,$0B
Below Threshold,1.5-3%,Myanmar,Low,,Asia,12/1/2000,2.1%,,10088,,,12841,,,2.1%,$3,,0.059,,0.153,62,64,60,0%,1,0.307,0.645,0.047,48.5M,27.0%,$0B,$0B
Below Threshold,Above 3%,Nepal,Moderate,$0,Asia,12/1/2000,3.3%,,3234,,,8108,$5B,$237,5.0%,$12,,0.06,0%,0.095,62,63,61,0%,1,0.404,0.558,0.038,23.2M,13.4%,$0B,$0B
Below Threshold,Above 3%,Pakistan,Moderate,$0,Asia,12/1/2000,3.1%,,106449,,,64067,$74B,$514,3.0%,$15,,0.088,,,64,65,63,0%,1,0.415,0.546,0.039,143.8M,33.2%,$1B,$1B
Below Threshold,Above 3%,Philippines,Moderate,$0,Asia,12/1/2000,3.0%,,73307,,,39872,$81B,"$1,043",3.2%,$33,,0.03,2%,0.109,67,70,64,8%,1,0.385,0.583,0.032,77.7M,48.0%,$2B,$2B
Below Threshold,Below 1.5%,Singapore,Very Friendly,"$23,440",Asia,12/1/2000,1.2%,,49006,,,18692,$96B,"$23,793",2.7%,$662,,0.003,36%,0.058,78,80,76,70%,1,0.215,0.712,0.073,4.0M,100.0%,$5B,$5B
Below Threshold,1.5-3%,Sri Lanka,Friendly,$0,Asia,12/1/2000,1.8%,,10161,,,8327,$16B,$855,3.7%,$32,,0.014,1%,0.162,72,75,68,2%,1,0.269,0.669,0.063,19.1M,18.4%,$0B,$0B
Below Threshold,Above 3%,Tajikistan,Moderate,$0,Asia,12/1/2000,3.0%,,2237,,,2149,$1B,$139,4.6%,$6,,0.075,0%,0.256,64,68,60,0%,1,0.429,0.536,0.035,6.2M,26.5%,,
Below Threshold,1.5-3%,Thailand,Very Friendly,$0,Asia,12/1/2000,1.5%,,188355,,,72284,$123B,"$1,973",3.4%,$67,,0.019,4%,0.078,71,75,67,5%,1,0.242,0.693,0.066,62.3M,31.4%,$10B,$3B
Below Threshold,Above 3%,Timor-Leste,Low,$0,Asia,12/1/2000,4.3%,,,,,,$0B,$410,5.1%,$19,,0.084,,,60,61,58,,1,0.498,0.479,0.024,0.9M,24.3%,,
Below Threshold,1.5-3%,Turkmenistan,Not Clustered,$0,Asia,12/1/2000,2.4%,,35365,,,14871,$3B,$645,3.9%,$44,,0.066,0%,,64,68,60,0%,1,0.363,0.594,0.043,4.5M,45.9%,,
Below Threshold,1.5-3%,Uzbekistan,Low,$0,Asia,12/1/2000,2.1%,,119951,,,50757,$14B,$558,5.3%,$29,,0.053,1%,,67,70,64,0%,1,0.373,0.584,0.043,24.7M,37.4%,$0B,
Below Threshold,1.5-3%,Vietnam,Friendly,$0,Asia,12/1/2000,1.7%,,53645,,,28736,$34B,$433,5.3%,$20,,0.027,0%,0.106,74,78,69,1%,1,0.316,0.62,0.064,77.6M,24.4%,,
Below Threshold,1.5-3%,Albania,Friendly,$0,Europe,12/1/2000,1.9%,,3022,,,1763,$4B,"$1,193",6.4%,$70,,0.023,0%,0.221,74,77,71,1%,1,0.303,0.628,0.068,3.1M,41.7%,$0B,$0B
Below Threshold,Below 1.5%,Andorra,Not Clustered,"$14,064",Europe,12/1/2000,1.1%,,524,,,,$1B,"$17,334",6.2%,"$1,330",,0.004,11%,,,,,36%,1,,,,0.1M,92.4%,,
Below Threshold,Below 1.5%,Austria,Very Friendly,"$23,440",Europe,12/1/2000,1.0%,,63696,,,28558,$192B,"$23,965",10.0%,"$2,403",,0.005,34%,,78,81,75,76%,1,0.17,0.675,0.155,8.0M,65.8%,$11B,$7B
Below Threshold,Below 1.5%,Belarus,Friendly,$0,Europe,12/1/2000,0.9%,,53469,,,24695,$13B,"$1,273",6.1%,$64,,0.011,2%,0.677,69,75,63,1%,1,0.186,0.679,0.134,10.0M,70.0%,$0B,$0B
Below Threshold,Below 1.5%,Belgium,Very Friendly,"$18,752",Europe,12/1/2000,1.1%,,115709,,,58508,$233B,"$22,729",8.1%,"$1,845",,0.005,29%,0.08,78,81,75,55%,1,0.176,0.655,0.169,10.3M,97.1%,$7B,$9B
Below Threshold,Below 1.5%,Bosnia and Herzegovina,Moderate,$0,Europe,12/1/2000,1.0%,,23223,,,4346,$6B,"$1,436",7.1%,$103,,0.008,1%,0.305,75,77,72,2%,1,0.202,0.691,0.107,3.8M,39.3%,$0B,$0B
Below Threshold,Below 1.5%,Bulgaria,Friendly,$0,Europe,12/1/2000,0.9%,,43531,,,18688,$13B,"$1,579",6.2%,$98,,0.018,5%,0.113,72,75,68,9%,1,0.157,0.677,0.166,8.2M,68.9%,$1B,$1B
Below Threshold,Below 1.5%,Croatia,Friendly,"$4,688",Europe,12/1/2000,1.0%,,19644,,,7790,$22B,"$4,862",7.8%,$377,,0.007,7%,0.121,73,77,69,23%,1,0.172,0.673,0.156,4.4M,55.6%,$3B,$1B
Below Threshold,Below 1.5%,Cyprus,Very Friendly,"$9,376",Europe,12/1/2000,1.3%,,6850,,,2137,$9B,"$9,875",5.8%,$744,,0.006,15%,0.08,78,80,76,23%,1,0.224,0.674,0.102,0.9M,68.6%,$2B,$1B
Below Threshold,Below 1.5%,Czech Republic,Friendly,"$4,688",Europe,12/1/2000,0.9%,,124649,,,40993,$59B,"$5,734",6.3%,$361,,0.006,10%,0.072,75,78,72,42%,1,0.165,0.697,0.138,10.3M,74.0%,$3B,$1B
Below Threshold,Below 1.5%,Denmark,Very Friendly,"$28,128",Europe,12/1/2000,1.3%,,47260,,,18634,$160B,"$29,965",8.7%,"$2,613",,0.005,39%,0.081,77,79,74,63%,1,0.185,0.667,0.149,5.3M,85.1%,$4B,$5B
Below Threshold,Below 1.5%,Estonia,Very Friendly,$0,Europe,12/1/2000,1.0%,,15181,,,4715,$6B,"$4,063",5.3%,$213,,0.009,29%,0.074,71,76,65,41%,1,0.18,0.669,0.152,1.4M,69.4%,$1B,$0B
Below Threshold,Above 3%,Faeroe Islands,Not Clustered,"$18,752",Europe,12/1/2000,,,711,,,,$1B,"$22,850",,,,,33%,,79,82,76,37%,1,,,,0.0M,36.3%,,
Below Threshold,Below 1.5%,Finland,Very Friendly,"$23,440",Europe,12/1/2000,1.1%,,52141,,,32233,$122B,"$23,569",7.2%,"$1,700",,0.004,37%,0.056,78,81,74,72%,1,0.182,0.669,0.149,5.2M,82.2%,$2B,$2B
Below Threshold,Below 1.5%,France,Very Friendly,"$18,752",Europe,12/1/2000,1.3%,,365560,,,251981,"$1,330B","$21,835",10.1%,"$2,209",,0.004,14%,0.067,79,83,75,49%,1,0.189,0.65,0.16,60.9M,75.9%,$39B,$27B
Below Threshold,Below 1.5%,Germany,Very Friendly,"$18,752",Europe,12/1/2000,0.9%,,829978,,,336584,"$1,890B","$22,989",10.4%,"$2,387",,0.004,30%,0.096,78,81,75,58%,1,0.156,0.681,0.163,82.2M,73.1%,$25B,$58B
Below Threshold,Below 1.5%,Greece,Friendly,"$9,376",Europe,12/1/2000,1.0%,,91616,,,27086,$124B,"$11,358",7.9%,$918,,0.007,9%,0.123,78,81,75,54%,1,0.152,0.68,0.168,10.9M,72.7%,$9B,$5B
Below Threshold,Below 1.5%,Hungary,Friendly,$0,Europe,12/1/2000,1.0%,,57238,,,24999,$46B,"$4,543",7.2%,$326,,0.01,7%,0.126,72,76,67,30%,1,0.168,0.68,0.151,10.2M,64.6%,$4B,$2B
Below Threshold,Below 1.5%,Iceland,Very Friendly,"$28,128",Europe,12/1/2000,1.4%,,2164,,,3100,$9B,"$30,929",9.5%,"$2,961",,0.003,45%,0.168,80,82,78,76%,1,0.233,0.651,0.116,0.3M,92.4%,$0B,$0B
Below Threshold,Below 1.5%,Ireland,Very Friendly,"$23,440",Europe,12/1/2000,1.4%,,41345,,,13574,$97B,"$25,579",6.1%,"$1,572",,0.006,18%,0.048,77,79,74,65%,1,0.218,0.67,0.112,3.8M,59.1%,$4B,$3B
Below Threshold,Above 3%,Isle of Man,Not Clustered,"$18,752",Europe,12/1/2000,,,,,,,$2B,"$20,359",,,,,,,,,,,1,,,,0.1M,51.8%,,
Below Threshold,Below 1.5%,Italy,Friendly,"$18,752",Europe,12/1/2000,1.0%,,451441,,,171522,"$1,100B","$19,318",7.9%,"$1,527",,0.005,23%,0.07,80,83,77,74%,1,0.143,0.674,0.183,56.9M,67.2%,$29B,$18B
Below Threshold,1.5-3%,Kosovo,Friendly,$0,Europe,12/1/2000,2.3%,,,,,1545,$2B,"$1,088",,,,,,,68,70,66,,1,,,,1.7M,,,
Below Threshold,Below 1.5%,Latvia,Very Friendly,$0,Europe,12/1/2000,0.9%,,6241,,,3832,$8B,"$3,309",6.0%,$197,,0.015,6%,0.119,71,76,65,17%,1,0.179,0.671,0.15,2.4M,68.1%,$0B,$0B
Below Threshold,Below 1.5%,Liechtenstein,Not Clustered,"$75,008",Europe,12/1/2000,1.3%,,,,,,$2B,"$75,058",,,,,37%,,77,80,74,30%,1,,,,0.0M,15.1%,,
Below Threshold,Below 1.5%,Lithuania,Very Friendly,$0,Europe,12/1/2000,1.0%,,12200,,,7131,$11B,"$3,267",6.5%,$212,,0.01,6%,0.121,73,78,67,15%,1,0.199,0.662,0.139,3.5M,67.0%,$0B,$0B
